sequential: 72,250,868us [1,013us] (100.00%; 100.00%)
	OnnxRewritePass: 3,711,227us [522,489us] (5.14%; 5.14%)
		InferType: 80,513us [80,513us] (0.11%; 2.17%)
		InferType: 81,032us [81,032us] (0.11%; 2.18%)
		InferType: 81,480us [81,480us] (0.11%; 2.20%)
		InferType: 85,201us [85,201us] (0.12%; 2.30%)
		InferType: 33,226us [33,226us] (0.05%; 0.90%)
		InferType: 33,163us [33,163us] (0.05%; 0.89%)
		InferType: 32,714us [32,714us] (0.05%; 0.88%)
		InferType: 33,112us [33,112us] (0.05%; 0.89%)
		InferType: 32,246us [32,246us] (0.04%; 0.87%)
		InferType: 33,139us [33,139us] (0.05%; 0.89%)
		InferType: 32,981us [32,981us] (0.05%; 0.89%)
		InferType: 34,020us [34,020us] (0.05%; 0.92%)
		InferType: 82,466us [82,466us] (0.11%; 2.22%)
		InferType: 81,623us [81,623us] (0.11%; 2.20%)
		InferType: 109,460us [109,460us] (0.15%; 2.95%)
		InferType: 81,008us [81,008us] (0.11%; 2.18%)
		InferType: 81,296us [81,296us] (0.11%; 2.19%)
		InferType: 80,910us [80,910us] (0.11%; 2.18%)
		InferType: 81,782us [81,782us] (0.11%; 2.20%)
		InferType: 96,673us [96,673us] (0.13%; 2.60%)
		InferType: 62,659us [62,659us] (0.09%; 1.69%)
		InferType: 63,216us [63,216us] (0.09%; 1.70%)
		InferType: 12,364us [12,364us] (0.02%; 0.33%)
		InferType: 9,731us [9,731us] (0.01%; 0.26%)
		InferType: 35,985us [35,985us] (0.05%; 0.97%)
		InferType: 37,135us [37,135us] (0.05%; 1.00%)
		InferType: 61,998us [61,998us] (0.09%; 1.67%)
		InferType: 73,403us [73,403us] (0.10%; 1.98%)
		InferType: 43,284us [43,284us] (0.06%; 1.17%)
		InferType: 43,431us [43,431us] (0.06%; 1.17%)
		InferType: 37,716us [37,716us] (0.05%; 1.02%)
		InferType: 24,318us [24,318us] (0.03%; 0.66%)
		InferType: 24,335us [24,335us] (0.03%; 0.66%)
		InferType: 24,216us [24,216us] (0.03%; 0.65%)
		InferType: 24,215us [24,215us] (0.03%; 0.65%)
		InferType: 24,456us [24,456us] (0.03%; 0.66%)
		InferType: 24,304us [24,304us] (0.03%; 0.65%)
		InferType: 24,306us [24,306us] (0.03%; 0.65%)
		InferType: 24,219us [24,219us] (0.03%; 0.65%)
		InferType: 24,252us [24,252us] (0.03%; 0.65%)
		InferType: 24,112us [24,112us] (0.03%; 0.65%)
		InferType: 24,076us [24,076us] (0.03%; 0.65%)
		InferType: 24,376us [24,376us] (0.03%; 0.66%)
		InferType: 24,641us [24,641us] (0.03%; 0.66%)
		InferType: 24,587us [24,587us] (0.03%; 0.66%)
		InferType: 24,462us [24,462us] (0.03%; 0.66%)
		InferType: 24,739us [24,739us] (0.03%; 0.67%)
		InferType: 24,535us [24,535us] (0.03%; 0.66%)
		InferType: 24,389us [24,389us] (0.03%; 0.66%)
		InferType: 24,151us [24,151us] (0.03%; 0.65%)
		InferType: 24,515us [24,515us] (0.03%; 0.66%)
		InferType: 24,555us [24,555us] (0.03%; 0.66%)
		InferType: 24,819us [24,819us] (0.03%; 0.67%)
		InferType: 24,734us [24,734us] (0.03%; 0.67%)
		InferType: 25,002us [25,002us] (0.03%; 0.67%)
		InferType: 24,900us [24,900us] (0.03%; 0.67%)
		InferType: 24,222us [24,222us] (0.03%; 0.65%)
		InferType: 24,088us [24,088us] (0.03%; 0.65%)
		InferType: 39,761us [39,761us] (0.06%; 1.07%)
		InferType: 39,714us [39,714us] (0.05%; 1.07%)
		InferType: 43,262us [43,262us] (0.06%; 1.17%)
		InferType: 43,259us [43,259us] (0.06%; 1.17%)
		InferType: 50,332us [50,332us] (0.07%; 1.36%)
		InferType: 50,190us [50,190us] (0.07%; 1.35%)
		InferType: 60,655us [60,655us] (0.08%; 1.63%)
		InferType: 60,820us [60,820us] (0.08%; 1.64%)
		InferType: 61,580us [61,580us] (0.09%; 1.66%)
		InferType: 61,357us [61,357us] (0.08%; 1.65%)
		InferType: 62,643us [62,643us] (0.09%; 1.69%)
		InferType: 62,387us [62,387us] (0.09%; 1.68%)
		InferType: 62,418us [62,418us] (0.09%; 1.68%)
		InferType: 61,869us [61,869us] (0.09%; 1.67%)
	InferType: 63,296us [63,296us] (0.09%; 0.09%)
	InsertNormalizeOp: 111,481us [49,801us] (0.15%; 0.15%)
		InferType: 61,680us [61,680us] (0.09%; 55.33%)
	InferType: 61,662us [61,662us] (0.09%; 0.09%)
	InsertYuvConversionOp: 111,927us [50,011us] (0.15%; 0.15%)
		InferType: 61,915us [61,915us] (0.09%; 55.32%)
	InferType: 65,031us [65,031us] (0.09%; 0.09%)
	ResizeToPool2d: 128,165us [66,177us] (0.18%; 0.18%)
		InferType: 61,988us [61,988us] (0.09%; 48.37%)
	InferType: 62,635us [62,635us] (0.09%; 0.09%)
	DisassembleTransposedConv2d: 158,275us [61,105us] (0.22%; 0.22%)
		InferType: 97,171us [97,171us] (0.13%; 61.39%)
	InferType: 68,642us [68,642us] (0.10%; 0.10%)
	ConcatToConv2dPass: 2,319,295us [212,305us] (3.21%; 3.21%)
		InferType: 2,345us [2,345us] (0.00%; 0.10%)
		InferType: 2,136us [2,136us] (0.00%; 0.09%)
		InferType: 2,174us [2,174us] (0.00%; 0.09%)
		InferType: 3,455us [3,455us] (0.00%; 0.15%)
		InferType: 5,583us [5,583us] (0.01%; 0.24%)
		InferType: 5,537us [5,537us] (0.01%; 0.24%)
		InferType: 5,575us [5,575us] (0.01%; 0.24%)
		InferType: 6,892us [6,892us] (0.01%; 0.30%)
		InferType: 9,057us [9,057us] (0.01%; 0.39%)
		InferType: 9,014us [9,014us] (0.01%; 0.39%)
		InferType: 12,444us [12,444us] (0.02%; 0.54%)
		InferType: 9,636us [9,636us] (0.01%; 0.42%)
		InferType: 9,035us [9,035us] (0.01%; 0.39%)
		InferType: 13,728us [13,728us] (0.02%; 0.59%)
		InferType: 15,969us [15,969us] (0.02%; 0.69%)
		InferType: 15,871us [15,871us] (0.02%; 0.68%)
